日期	收盘
2019年5月8日	2,893.76
2019年5月7日	2,926.39
2019年5月6日	2,906.46
2019年4月30日	3,078.34
2019年4月29日	3,062.50
2019年4月26日	3,086.40
2019年4月25日	3,123.83
2019年4月24日	3,201.61
2019年4月23日	3,198.59
2019年4月22日	3,215.04
2019年4月19日	3,270.80
2019年4月18日	3,250.20
2019年4月17日	3,263.12
2019年4月16日	3,253.60
2019年4月15日	3,177.79
2019年4月12日	3,188.63
2019年4月11日	3,189.96
2019年4月10日	3,241.93
2019年4月9日	3,239.66
2019年4月8日	3,244.81
2019年4月4日	3,246.57
2019年4月3日	3,216.30
2019年4月2日	3,176.82
2019年4月1日	3,170.36
2019年3月29日	3,090.76
2019年3月28日	2,994.94
2019年3月27日	3,022.72
2019年3月26日	2,997.10
2019年3月25日	3,043.03
2019年3月22日	3,104.15
2019年3月21日	3,101.45
2019年3月20日	3,090.64
2019年3月19日	3,090.97
2019年3月18日	3,096.42
2019年3月15日	3,021.75
2019年3月14日	2,990.68
2019年3月13日	3,026.95
2019年3月12日	3,060.31
2019年3月11日	3,026.99
2019年3月8日	2,969.86
2019年3月7日	3,106.42
2019年3月6日	3,102.10
2019年3月5日	3,054.25
2019年3月4日	3,027.58
2019年3月1日	2,994.01
2019年2月28日	2,940.95
2019年2月27日	2,953.82
2019年2月26日	2,941.52
2019年2月25日	2,961.28
2019年2月22日	2,804.23
2019年2月21日	2,751.80
2019年2月20日	2,761.22
2019年2月19日	2,755.65
2019年2月18日	2,754.36
2019年2月15日	2,682.39
2019年2月14日	2,719.70
2019年2月13日	2,721.07
2019年2月12日	2,671.89
2019年2月11日	2,653.90
2019年2月1日	2,618.23
2019年1月31日	2,584.57
2019年1月30日	2,575.58
2019年1月29日	2,594.25
2019年1月28日	2,596.98
2019年1月25日	2,601.72
2019年1月24日	2,591.69
2019年1月23日	2,581.00
2019年1月22日	2,579.70
2019年1月21日	2,610.51
2019年1月18日	2,596.01
2019年1月17日	2,559.64
2019年1月16日	2,570.42
2019年1月15日	2,570.34
2019年1月14日	2,535.77
2019年1月11日	2,553.83
2019年1月10日	2,535.10
2019年1月9日	2,544.34
2019年1月8日	2,526.46
2019年1月7日	2,533.09
2019年1月4日	2,514.87
2019年1月3日	2,464.36
2019年1月2日	2,465.29
2018年12月28日	2,493.90
2018年12月27日	2,483.09
2018年12月26日	2,498.29
2018年12月25日	2,504.82
2018年12月24日	2,527.01
2018年12月21日	2,516.25
2018年12月20日	2,536.27
2018年12月19日	2,549.56
2018年12月18日	2,576.65
2018年12月17日	2,597.97
2018年12月14日	2,593.74
2018年12月13日	2,634.05
2018年12月12日	2,602.15
2018年12月11日	2,594.09
2018年12月10日	2,584.58
2018年12月7日	2,605.89
2018年12月6日	2,605.18
2018年12月5日	2,649.81
2018年12月4日	2,665.96
2018年12月3日	2,654.80
2018年11月30日	2,588.19
2018年11月29日	2,567.44
2018年11月28日	2,601.74
2018年11月27日	2,574.68
2018年11月26日	2,575.81
2018年11月23日	2,579.48
2018年11月22日	2,645.43
2018年11月21日	2,651.51
2018年11月20日	2,645.85
2018年11月19日	2,703.51
2018年11月16日	2,679.11
2018年11月15日	2,668.17
2018年11月14日	2,632.24
2018年11月13日	2,654.88
2018年11月12日	2,630.52
2018年11月9日	2,598.87
2018年11月8日	2,635.63
2018年11月7日	2,641.34
2018年11月6日	2,659.36
2018年11月5日	2,665.43
2018年11月2日	2,676.48
2018年11月1日	2,606.24
2018年10月31日	2,602.78
2018年10月30日	2,568.05
2018年10月29日	2,542.10
2018年10月26日	2,598.85
2018年10月25日	2,603.80
2018年10月24日	2,603.30
2018年10月23日	2,594.83
2018年10月22日	2,654.88
2018年10月19日	2,550.47
2018年10月18日	2,486.42
2018年10月17日	2,561.61
2018年10月16日	2,546.33
2018年10月15日	2,568.10
2018年10月12日	2,606.91
2018年10月11日	2,583.46
2018年10月10日	2,725.84
2018年10月9日	2,721.01
2018年10月8日	2,716.51
2018年9月28日	2,821.35
2018年9月27日	2,791.77
2018年9月26日	2,806.81
2018年9月25日	2,781.14
2018年9月21日	2,797.48
2018年9月20日	2,729.24
2018年9月19日	2,730.85
2018年9月18日	2,699.95
2018年9月17日	2,651.79
2018年9月14日	2,681.64
2018年9月13日	2,686.58
2018年9月12日	2,656.11
2018年9月11日	2,664.80
2018年9月10日	2,669.48
2018年9月7日	2,702.30
2018年9月6日	2,691.59
2018年9月5日	2,704.34
2018年9月4日	2,750.58
2018年9月3日	2,720.73
2018年8月31日	2,725.25
2018年8月30日	2,737.74
2018年8月29日	2,769.29
2018年8月28日	2,777.98
2018年8月27日	2,780.90
2018年8月24日	2,729.43
2018年8月23日	2,724.62
2018年8月22日	2,714.61
2018年8月21日	2,733.83
2018年8月20日	2,698.47
2018年8月17日	2,668.97
2018年8月16日	2,705.19
2018年8月15日	2,723.26
2018年8月14日	2,780.96
2018年8月13日	2,785.87
2018年8月10日	2,795.31
2018年8月9日	2,794.38
2018年8月8日	2,744.07
2018年8月7日	2,779.37
2018年8月6日	2,705.16
2018年8月3日	2,740.44
2018年8月2日	2,768.02
2018年8月1日	2,824.53
2018年7月31日	2,876.40
2018年7月30日	2,869.05
